Satellite,Day (human),Day (ordinal),Start Time (UTC),Band(s),Main Artifact,2nd Artifact,Comments,Lat/Lon,Line/Element,16-panel Imagery Link,Level-1b Path
GOES-17,02/09/2020,2020040,18:00:32,15,Sharkfin,,FD,"18N,165W","1765,1338",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200209/fd/16panel/medium/16panel_2020040_180032_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_09_040/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020040180032*.nc
GOES-17,02/09/2020,2020040,20:30:32,14,Sharkfin,,FD,"29N,165W","1243,1464",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200209/fd/16panel/medium/16panel_2020040_202032_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_09_040/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020040203032*.nc
GOES-17,02/10/2020,2020041,01:20:31,"11,12",Sharkfin,,FD,"22S,165W","3859,1374",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200210/fd/16panel/medium/16panel_2020041_012031_WESTB_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_10_041/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020041012031*.nc
GOES-17,02/10/2020,2020041,02:00:31,10,Sharkfin,,FD,"32S,155W","4327,1908",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200210/fd/16panel/medium/16panel_2020041_020031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_10_041/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020041020031*.nc
GOES-17,02/10/2020,2020041,02:10:31,6,Sharkfin,,FD,"23S,165W","3907,1386",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200210/fd/16panel/medium/16panel_2020041_021031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_10_041/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020041021031*.nc
GOES-17,02/10/2020,2020041,02:10:31,10,Sharkfin,,FD,"28N,165W","1285,1446",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200210/fd/16panel/medium/16panel_2020041_021031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_10_041/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020041021031*.nc
GOES-17,02/10/2020,2020041,07:50:31,10,Sharkfin,,FD,"22S,165W","3859,1374",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200210/fd/16panel/medium/16panel_2020041_075031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_10_041/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020041075031*.nc
GOES-16,02/15/2020,2020046,21:20:20,"10,11",Sharkfin,,FD,"48S,80W","4921,2538",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200215/fd/16panel/medium/16panel_2020046_212020_EASTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_02_15_046/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020046212020*.nc
GOES-16,02/16/2020,2020047,05:00:20,"10,11,12,15",Sharkfin,,FD,"48S,105W","4891,1728",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200216/fd/16panel/medium/16panel_2020047_050020_EASTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_02_16_047/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020047050020*.nc
GOES-16,02/16/2020,2020047,19:30:20,"13,14",Sharkfin,,FD,"50S,90W","4975,2220",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200216/fd/16panel/medium/16panel_2020047_193020_EASTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_02_16_047/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020047193020*.nc
GOES-17,02/16/2020,2020047,19:20:32,16,Sharkfin,,FD,"47S,145W","4891,2430",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200216/fd/16panel/medium/16panel_2020047_192032_WESTB_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_16_047/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020047192032*.nc
GOES-16,02/17/2020,2020048,16:50:20,"7,10,15,16",Sharkfin,,FD,"47S,90W","4885,2184",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200217/fd/16panel/medium/16panel_2020048_165020_EASTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_02_17_048/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020048165020*.nc
GOES-17,02/17/2020,2020048,07:50:31,"14,15",Sharkfin,,FD,"48S,150W","4921,2262",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200217/fd/16panel/medium/16panel_2020048_075031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_17_048/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020048075031*.nc
GOES-17,02/18/2020,2020049,00:30:31,12,Sharkfin,,FD,"47S,160W","4873,1920",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200218/fd/16panel/medium/16panel_2020049_003031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_18_049/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020049003031*.nc
GOES-17,02/19/2020,2020050,21:20:31,9,Sharkfin,,FD,"43N,165W","691,1692",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200219/fd/16panel/medium/16panel_2020050_212031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_19_050/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020050212031*.nc
GOES-17,02/20/2020,2020051,18:15:31,12,Sharkfin,,FD,"47S,160W","4873,1920",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200220/fd/16panel/medium/16panel_2020051_181531_WESTA_FD_M3_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_20_051/abi/L1b/RadF/OR_ABI-L1b-RadF-M3C??_G17_s2020051181531*.nc
